Assembly,Order,Family,Genus,Species,Release_Date
GCF_003047755.2,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus,2020-10-13T18:22:14.970Z
GCF_013348135.1,Caudovirales,Podoviridae,Salasvirus,Bacillus phage Gxv1,2020-07-29T13:05:53.277Z
GCF_009932005.1,Caudovirales,Podoviridae,Salasvirus,Bacillus virus SRT01hs,2020-07-29T13:05:33.417Z
GCF_006869665.1,Caudovirales,Podoviridae,Salasvirus,Bacillus phage Karezi,2020-07-29T13:04:34.570Z
GCF_002627245.1,Caudovirales,Podoviridae,Salasvirus,Bacillus phage vB_BveP-Goe6,2020-07-29T13:03:03.013Z
GCF_002755075.1,Caudovirales,Podoviridae,Salasvirus,Bacillus virus phi29,2020-07-29T13:02:13.730Z
GCF_008214525.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Sin4,2020-07-22T10:12:29.443Z
GCF_008214585.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Sweeny,2020-07-22T10:12:04.017Z
GCF_007998375.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage Henu8,2020-07-22T10:08:12.160Z
GCF_010120255.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage egaa,2020-07-22T10:07:32.497Z
GCF_005394215.1,Caudovirales,Myoviridae,Mieseafarmvirus,Burkholderia phage BcepSauron,2020-07-22T10:01:21.673Z
GCF_004771375.1,Caudovirales,Myoviridae,Mieseafarmvirus,Burkholderia phage BcepSaruman,2020-07-22T10:01:04.917Z
GCF_006964305.1,Caudovirales,Myoviridae,Mieseafarmvirus,Achromobacter phage Motura,2020-07-22T10:00:47.860Z
GCF_009859595.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage KP1801,2020-07-22T10:00:27.287Z
GCF_008214665.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Shelby,2020-07-22T09:59:59.467Z
GCF_009861365.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage PhiKpNIH-2,2020-07-22T09:59:35.617Z
GCF_009667565.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage 13,2020-07-22T09:59:16.913Z
GCF_009800765.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_15-38_KLPPOU149,2020-07-22T09:58:38.217Z
GCF_008214625.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage Skenny,2020-07-22T09:58:13.350Z
GCF_005145105.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_FZ10,2020-07-22T09:57:57.153Z
GCF_009217465.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage KL,2020-07-22T09:57:29.877Z
GCF_008221375.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_Alina,2020-07-22T09:57:06.937Z
GCF_008221175.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_Call,2020-07-22T09:56:44.697Z
GCF_008220985.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_Domnhall,2020-07-22T09:56:26.363Z
GCF_008221045.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_IMGroot,2020-07-22T09:56:07.940Z
GCF_008221245.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella phage vB_KpnS_SegesCirculi,2020-07-22T09:49:21.853Z
GCF_009856795.1,Caudovirales,Drexlerviridae,Tunavirus,Escherichia phage vB_EcoS-DELF2,2020-07-22T09:49:02.690Z
GCF_009662975.1,Caudovirales,Drexlerviridae,Tunavirus,Shigella virus Sfin-3,2020-07-22T09:48:47.510Z
GCF_013343685.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage PGN590,2020-07-22T09:48:31.447Z
GCF_010120085.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage aalborv,2020-07-22T09:48:08.900Z
GCF_010120345.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage haarsle,2020-07-22T09:47:46.103Z
GCF_010120215.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage damhaus,2020-07-22T09:47:25.510Z
GCF_010120095.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage aaroes,2020-07-22T09:47:08.430Z
GCF_010120335.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage grams,2020-07-22T09:46:51.733Z
GCF_010121105.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage vojen,2020-07-22T09:46:26.423Z
GCF_010120365.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage herni,2020-07-22T09:46:08.510Z
GCF_005892865.1,Caudovirales,Drexlerviridae,Hanrivervirus,Escherichia phage vB_EcoS_G29-2,2020-07-22T09:45:52.710Z
GCF_011757155.1,Caudovirales,Drexlerviridae,Hanrivervirus,Salmonella phage slyngel,2020-07-22T09:45:33.923Z
GCF_013133635.1,Caudovirales,Drexlerviridae,Hanrivervirus,Shigella virus 2019SD1,2020-07-22T09:45:17.357Z
GCF_010120185.1,Caudovirales,Drexlerviridae,Warwickvirus,Escherichia phage atuna,2020-07-22T09:45:00.723Z
GCF_010121005.1,Caudovirales,Drexlerviridae,Warwickvirus,Escherichia phage tonijn,2020-07-22T09:44:43.763Z
GCF_010121025.1,Caudovirales,Drexlerviridae,Warwickvirus,Escherichia phage tonnikala,2020-07-22T09:44:25.060Z
GCF_010121065.1,Caudovirales,Drexlerviridae,Warwickvirus,Escherichia phage tunus,2020-07-22T09:44:03.513Z
GCF_010121015.1,Caudovirales,Drexlerviridae,Warwickvirus,Escherichia phage tonn,2020-07-22T09:43:47.653Z
GCF_008214025.1,Caudovirales,Drexlerviridae,Warwickvirus,Shigella phage JK16,2020-07-22T09:43:29.250Z
GCF_009671745.1,Caudovirales,Drexlerviridae,Rtpvirus,Escherichia phage vB_EcoS-12210I,2020-07-22T09:43:08.653Z
